OFFENSE,Year,LaborForce,Unemployed,Borough,State,Rate,Total For 2019,Total For 2020,Month,Employed
GRAND LARCENY,2019,"911,625","31,975",Manhattan,NY,3.5,94563,694173,Avg,"879,675"
MURDER & NON-NEGL. MANSLAUGHTER,2020,"1,139,200","38,300",Queens County,NY,3.4,95614,703292,Jan,"1,100,800"
RAPE,2020,"1,149,200","38,000",Queens County,NY,3.3,96665,712412,Feb,"1,111,100"
ROBBERY,2020,"1,136,900","41,900",Queens County,NY,3.7,97716,721531,Mar,"1,095,000"
FELONY ASSAULT,2020,"1,050,800","178,900",Queens County,NY,17,98767,730650,Apr,"872,000"
BURGLARY,2020,"1,040,900","226,600",Queens County,NY,21.8,99818,739770,May,"814,300"
GRAND LARCENY,2020,"1,099,300","216,400",Queens County,NY,19.7,100869,748889,Jun,"883,000"
GRAND LARCENY OF MOTOR VEHICLE,2020,"1,098,000","210,300",Queens County,NY,19.2,101920,758008,Jul,"887,700"
MURDER & NON-NEGL. MANSLAUGHTER,2020,"1,118,300","166,800",Queens County,NY,14.9,102972,767128,Aug,"951,500"
RAPE,2020,"1,110,500","161,800",Queens County,NY,14.6,104023,776247,Sep,"948,600"
ROBBERY,2020,"1,084,400","127,000",Queens County,NY,11.7,105074,785367,Oct,"957,300"
FELONY ASSAULT,2020,"1,082,500","124,700",Queens County,NY,11.5,106125,794486,Nov,"957,800"
BURGLARY,2020,"1,077,400","121,900",Queens County,NY,11.3,107176,803605,Dec,"955,500"
GRAND LARCENY,2020,"1,098,950","137,717",Queens County,NY,12.7,108227,812725,Avg,"961,217"
MURDER & NON-NEGL. MANSLAUGHTER,2019,"1,145,200","49,800",Queens County,NY,4.4,109278,821844,Jan,"1,095,400"
RAPE,2019,"1,152,800","46,500",Queens County,NY,4,110329,830963,Feb,"1,106,400"
ROBBERY,2019,"1,149,000","43,200",Queens County,NY,3.8,111380,840083,Mar,"1,105,700"
FELONY ASSAULT,2019,"1,137,800","36,900",Queens County,NY,3.2,112431,849202,Apr,"1,100,900"
BURGLARY,2019,"1,134,900","38,100",Queens County,NY,3.4,113482,858322,May,"1,096,800"
GRAND LARCENY,2019,"1,135,700","39,100",Queens County,NY,3.4,114533,867441,Jun,"1,096,600"
GRAND LARCENY OF MOTOR VEHICLE,2019,"1,142,300","42,500",Queens County,NY,3.7,115584,876560,Jul,"1,099,900"
MURDER & NON-NEGL. MANSLAUGHTER,2019,"1,136,400","41,000",Queens County,NY,3.6,116635,885680,Aug,"1,095,400"
RAPE,2019,"1,136,100","34,800",Queens County,NY,3.1,117686,894799,Sep,"1,101,200"
ROBBERY,2019,"1,141,000","37,200",Queens County,NY,3.3,118737,903919,Oct,"1,103,800"
FELONY ASSAULT,2019,"1,132,200","33,000",Queens County,NY,2.9,119788,913038,Nov,"1,099,200"
BURGLARY,2019,"1,129,400","30,600",Queens County,NY,2.7,120839,922157,Dec,"1,098,800"
GRAND LARCENY,2019,"1,139,400","39,392",Queens County,NY,3.5,121890,931277,Avg,"1,100,008"
MURDER & NON-NEGL. MANSLAUGHTER,2020,"224,600","8,300",Richmond County,NY,3.7,122941,940396,Jan,"216,300"
RAPE,2020,"226,400","8,300",Richmond County,NY,3.6,123992,949515,Feb,"218,200"
ROBBERY,2020,"223,500","8,700",Richmond County,NY,3.9,125044,958635,Mar,"214,700"
FELONY ASSAULT,2020,"200,000","28,900",Richmond County,NY,14.5,126095,967754,Apr,"171,100"
BURGLARY,2020,"194,900","35,400",Richmond County,NY,18.2,127146,976874,May,"159,500"
GRAND LARCENY,2020,"206,800","33,700",Richmond County,NY,16.3,128197,985993,Jun,"173,100"
GRAND LARCENY OF MOTOR VEHICLE,2020,"207,100","33,100",Richmond County,NY,16,129248,995112,Jul,"174,000"
MURDER & NON-NEGL. MANSLAUGHTER,2020,"213,100","26,600",Richmond County,NY,12.5,130299,1004232,Aug,"186,600"
RAPE,2020,"211,800","25,600",Richmond County,NY,12.1,131350,1013351,Sep,"186,200"
ROBBERY,2020,"207,800","20,000",Richmond County,NY,9.6,132401,1022470,Oct,"187,900"
FELONY ASSAULT,2020,"208,300","20,100",Richmond County,NY,9.7,133452,1031590,Nov,"188,200"
BURGLARY,2020,"208,200","20,600",Richmond County,NY,9.9,134503,1040709,Dec,"187,600"
GRAND LARCENY,2020,"211,042","22,442",Richmond County,NY,10.8,135554,1049829,Avg,"188,617"
MURDER & NON-NEGL. MANSLAUGHTER,2019,"223,600","10,900",Richmond County,NY,4.9,136605,1058948,Jan,"212,700"
RAPE,2019,"224,800","10,000",Richmond County,NY,4.4,137656,1068067,Feb,"214,800"
ROBBERY,2019,"223,900","9,300",Richmond County,NY,4.2,138707,1077187,Mar,"214,600"
FELONY ASSAULT,2019,"221,700","8,000",Richmond County,NY,3.6,139758,1086306,Apr,"213,700"
BURGLARY,2019,"221,300","8,200",Richmond County,NY,3.7,140809,1095426,May,"213,100"
GRAND LARCENY,2019,"221,600","8,400",Richmond County,NY,3.8,141860,1104545,Jun,"213,200"
GRAND LARCENY OF MOTOR VEHICLE,2019,"223,600","9,700",Richmond County,NY,4.4,142911,1113664,Jul,"213,800"
MURDER & NON-NEGL. MANSLAUGHTER,2019,"222,500","9,400",Richmond County,NY,4.2,143962,1122784,Aug,"213,200"
RAPE,2019,"221,500","7,500",Richmond County,NY,3.4,145013,1131903,Sep,"214,000"
ROBBERY,2019,"222,600","7,900",Richmond County,NY,3.6,146064,1141022,Oct,"214,700"
FELONY ASSAULT,2019,"220,700","7,100",Richmond County,NY,3.2,147116,1150142,Nov,"213,600"
BURGLARY,2019,"220,000","6,600",Richmond County,NY,3,148167,1159261,Dec,"213,500"
GRAND LARCENY,2019,"222,317","8,583",Richmond County,NY,3.9,149218,1168381,Avg,"213,742"
